Date,Adjusted Close,Open,High,Low,Volume
11/7/2024,$107.63,$106.10,$107.73,$105.59,"8,046,110"
11/6/2024,$105.36,$108.27,$108.75,$105.03,"12,044,632"
11/5/2024,$110.13,$107.98,$110.30,$107.75,"6,604,271"
11/4/2024,$109.72,$110.19,$110.66,$109.44,"6,215,011"
11/1/2024,$111.94,$112.80,$113.02,$111.81,"706,971"
10/31/2024,$111.95,$110.21,$112.16,$109.72,"993,698"
10/30/2024,$113.24,$108.50,$113.74,$107.24,"1,444,355"
10/29/2024,$111.98,$111.71,$113.25,$111.15,"997,794"
10/28/2024,$112.36,$112.19,$112.72,$111.68,"753,266"
10/25/2024,$113.38,$113.86,$114.18,$113.10,"761,425"
10/24/2024,$113.92,$115.06,$115.25,$113.91,"790,997"
10/23/2024,$115.74,$116.35,$116.42,$114.98,"584,497"
10/22/2024,$116.47,$114.84,$116.65,$114.78,"820,492"
10/21/2024,$117.33,$117.64,$117.83,$116.89,"720,153"
10/18/2024,$118.09,$117.65,$118.26,$117.16,"584,129"
10/17/2024,$118.22,$118.52,$119.04,$118.12,"456,380"
10/16/2024,$118.03,$116.77,$118.06,$116.48,"516,603"
10/15/2024,$117.81,$118.38,$119.04,$117.31,"648,580"
10/14/2024,$119.78,$119.68,$120.42,$119.56,"517,304"
10/11/2024,$120.04,$119.91,$120.55,$119.48,"675,434"
10/10/2024,$117.53,$118.12,$118.41,$117.12,"527,696"
10/9/2024,$117.00,$116.60,$117.16,$115.85,"861,579"
10/8/2024,$117.20,$117.43,$117.88,$116.60,"730,510"
10/7/2024,$117.77,$117.08,$118.48,$117.08,"770,566"
10/4/2024,$115.12,$114.29,$115.15,$113.84,"908,014"
10/3/2024,$115.08,$116.26,$116.33,$115.03,"817,520"
10/2/2024,$116.48,$116.79,$116.79,$115.40,"1,080,512"
10/1/2024,$118.01,$118.84,$118.89,$117.36,"566,614"
9/30/2024,$119.07,$117.52,$119.11,$117.50,"1,046,866"
9/27/2024,$120.76,$120.37,$121.32,$119.15,"1,272,802"
9/26/2024,$124.30,$125.60,$125.60,$124.00,"655,399"
9/25/2024,$126.95,$127.36,$127.59,$126.41,"457,372"
9/24/2024,$125.44,$124.35,$126.65,$123.80,"633,457"
9/23/2024,$123.70,$124.18,$124.64,$122.95,"974,482"
