Date,Net Income TTM,Market Cap (USD),PE Ratio
11/7/2024,$13.024B,$481.511B,36.97
11/6/2024,$13.024B,$478.877B,36.77
11/5/2024,$13.024B,$483.503B,37.12
11/4/2024,$13.024B,$493.975B,37.93
11/1/2024,$13.024B,$490.249B,37.64
10/25/2024,$13.024B,$505.988B,38.85
10/18/2024,$13.024B,$524.619B,40.28
10/11/2024,$13.024B,$515.561B,39.58
10/10/2024,$13.024B,$509.843B,39.15
10/9/2024,$13.024B,$512.092B,39.32
10/8/2024,$13.024B,$516.139B,39.63
10/4/2024,$13.024B,$502.969B,38.62
9/27/2024,$13.024B,$536.312B,41.18
9/20/2024,$13.024B,$577.043B,44.31
9/13/2024,$13.024B,$587.322B,45.09
9/6/2024,$13.024B,$568.691B,43.66
8/30/2024,$13.024B,$592.461B,45.49
8/23/2024,$13.024B,$592.012B,45.45
8/16/2024,$13.024B,$596.316B,45.79
8/12/2024,$13.024B,$590.148B,45.31
8/9/2024,$13.024B,$555.071B,42.62
8/8/2024,$13.024B,$424.501B,32.59
8/7/2024,$13.024B,$407.201B,31.26
8/1/2024,$13.024B,$449.8B,34.54
7/26/2024,$13.024B,$429.122B,32.95
7/19/2024,$13.024B,$445.036B,34.17
7/12/2024,$13.024B,$481.479B,36.97
7/5/2024,$13.024B,$478.385B,36.73
6/28/2024,$12.934B,$493.905B,38.19
6/21/2024,$12.934B,$485.212B,37.51
6/14/2024,$12.934B,$486.735B,37.63
6/7/2024,$12.934B,$483.296B,37.37
5/31/2024,$12.934B,$455.448B,35.21
5/24/2024,$12.934B,$456.185B,35.27
5/17/2024,$12.934B,$443.66B,34.3
5/15/2024,$12.934B,$450.438B,34.83
5/14/2024,$12.934B,$446.951B,34.56
5/13/2024,$12.934B,$446.902B,34.55
5/10/2024,$12.934B,$567.406B,43.87
5/9/2024,$12.934B,$567.406B,43.87
5/8/2024,$12.934B,$433.788B,33.54
5/7/2024,$12.934B,$433.493B,33.52
5/1/2024,$12.934B,$440.91B,34.09
4/25/2024,$12.934B,$431.384B,33.35
4/19/2024,$12.934B,$431.086B,33.33
4/12/2024,$12.934B,$437.954B,33.86
4/5/2024,$12.934B,$431.733B,33.38
3/28/2024,$12.124B,$441.537B,36.42
3/22/2024,$12.124B,$441.537B,36.42
3/15/2024,$12.124B,$449.898B,37.11
3/8/2024,$12.124B,$450.395B,37.15
3/1/2024,$12.124B,$423.471B,34.93
2/23/2024,$12.124B,$422.526B,34.85
2/16/2024,$12.124B,$423.471B,34.93
2/9/2024,$12.124B,$414.015B,34.15
2/2/2024,$12.124B,$388.883B,32.08
1/26/2024,$12.124B,$364.298B,30.05
1/19/2024,$12.124B,$364.497B,30.06
1/12/2024,$12.124B,$361.113B,29.79
1/5/2024,$12.124B,$361.212B,29.79
12/29/2023,$10.911B,$347.427B,31.84
12/22/2023,$10.911B,$345.934B,31.7
12/15/2023,$10.911B,$330.356B,30.28
