,Date,Enterprise Value,EBITDA,EV/EBITDA,Net Income TTM,Market Cap (USD),PE Ratio,Total Debt,Shareholder Equity,Debt/Equity Ratio,Adjusted Close,Open,High,Low,Volume,Revenue TTM,Year,Month,Year-Month,year_month
0,2024-11-07,476539000000.0,19340000000.0,24.64,13024000000.0,481511000000.0,36.97,8209000000.0,16187000000.000002,0.51,107.63,106.1,107.73,105.59,8046110.0,16081000000.0,2024,Nov,2024-11,2024-11
1,2024-11-06,473923000000.0,19340000000.0,24.51,13024000000.0,478877000000.0,36.77,8209000000.0,16187000000.000002,0.51,105.36,108.27,108.75,105.03,12044632.0,16081000000.0,2024,Nov,2024-11,2024-11
2,2024-11-05,478516000000.0,19340000000.0,24.74,13024000000.0,483503000000.0,37.12,8209000000.0,16187000000.000002,0.51,110.13,107.98,110.3,107.75,6604271.0,16081000000.0,2024,Nov,2024-11,2024-11
3,2024-11-04,488915000000.0,19340000000.0,25.28,13024000000.0,493975000000.0,37.93,8209000000.0,16187000000.000002,0.51,109.72,110.19,110.66,109.44,6215011.0,16081000000.0,2024,Nov,2024-11,2024-11
4,2024-11-01,485215000000.0,19340000000.0,25.09,13024000000.0,490249000000.0,37.64,8209000000.0,16187000000.000002,0.51,111.94,112.8,113.02,111.81,706971.0,16081000000.0,2024,Nov,2024-11,2024-11
5,2024-10-31,500844000000.0,19340000000.0,25.9,13024000000.0,505988000000.0,38.85,8209000000.0,16187000000.000002,0.51,111.95,110.21,112.16,109.72,993698.0,16081000000.0,2024,Oct,2024-10,2024-10
6,2024-10-30,500844000000.0,19340000000.0,25.9,13024000000.0,505988000000.0,38.85,8209000000.0,16187000000.000002,0.51,113.24,108.5,113.74,107.24,1444355.0,16081000000.0,2024,Oct,2024-10,2024-10
7,2024-10-29,500844000000.0,19340000000.0,25.9,13024000000.0,505988000000.0,38.85,8209000000.0,16187000000.000002,0.51,111.98,111.71,113.25,111.15,997794.0,16081000000.0,2024,Oct,2024-10,2024-10
8,2024-10-28,500844000000.0,19340000000.0,25.9,13024000000.0,505988000000.0,38.85,8209000000.0,16187000000.000002,0.51,112.36,112.19,112.72,111.68,753266.0,16081000000.0,2024,Oct,2024-10,2024-10
9,2024-10-25,500844000000.0,19340000000.0,25.9,13024000000.0,505988000000.0,38.85,8209000000.0,16187000000.000002,0.51,113.38,113.86,114.18,113.1,761425.0,16081000000.0,2024,Oct,2024-10,2024-10
10,2024-10-24,519344000000.00006,19340000000.0,26.85,13024000000.0,524619000000.0,40.28,8209000000.0,16187000000.000002,0.51,113.92,115.06,115.25,113.91,790997.0,16081000000.0,2024,Oct,2024-10,2024-10
11,2024-10-23,519344000000.00006,19340000000.0,26.85,13024000000.0,524619000000.0,40.28,8209000000.0,16187000000.000002,0.51,115.74,116.35,116.42,114.98,584497.0,16081000000.0,2024,Oct,2024-10,2024-10
12,2024-10-22,519344000000.00006,19340000000.0,26.85,13024000000.0,524619000000.0,40.28,8209000000.0,16187000000.000002,0.51,116.47,114.84,116.65,114.78,820492.0,16081000000.0,2024,Oct,2024-10,2024-10
13,2024-10-21,519344000000.00006,19340000000.0,26.85,13024000000.0,524619000000.0,40.28,8209000000.0,16187000000.000002,0.51,117.33,117.64,117.83,116.89,720153.0,16081000000.0,2024,Oct,2024-10,2024-10
14,2024-10-18,519344000000.00006,19340000000.0,26.85,13024000000.0,524619000000.0,40.28,8209000000.0,16187000000.000002,0.51,118.09,117.65,118.26,117.16,584129.0,16081000000.0,2024,Oct,2024-10,2024-10
15,2024-10-17,510349000000.0,19340000000.0,26.39,13024000000.0,515561000000.00006,39.58,8209000000.0,16187000000.000002,0.51,118.22,118.52,119.04,118.12,456380.0,16081000000.0,2024,Oct,2024-10,2024-10
